user,user_followers,retweeted_user,text,retweeted_user_followers,sentiment,polarity,subjectivity,neg,neu,pos,compound
tweet4852,502,firstdraftnews,second first draft 's series online narratives china ’ vaccines examines reasons w…,35736,neutral,0.125,0.16666666666666666,0.0,1.0,0.0,0.0
eshanimathur5,1754,BloombergQuint,“ think ’ kind hidden agenda ” millions people refusing free covid shots hong kong in…,224293,positive,0.2777777777777778,0.6777777777777777,0.139,0.515,0.345,0.6124
DangerBonesA,5179,DavidGr07837209,taiwan mobilises diplomats seek faster covid vaccine delivery amid rising cases htpstcouwrwueuf,2827,neutral,0.0,0.0,0.0,1.0,0.0,0.0
yuggy52,1586,AlanCane604,nearly died hong kong flu ' killed worldwide one wore mask washed h…,7554,negative,-0.05,0.2,0.543,0.457,0.0,-0.8934
shockingguy,1652,Quicktake,“ think ’ kind hidden agenda ” millions people refusing free covid shots hong kong pa…,1253704,positive,0.2777777777777778,0.6777777777777777,0.139,0.515,0.345,0.6124
volleylover8,52,nikki_miumiu,hongkong communist govt learn pretty fast chairman chinese manufacturers ' association hong kong allen shi suggest…,18218,positive,0.15,0.5333333333333333,0.0,0.814,0.186,0.4939
MonaSmitte,338,tripperhead,arrived hong kong singapore days hotel quarantine due vaccine discount wi…,5511,neutral,-0.125,0.375,0.0,1.0,0.0,0.0
_techtalkng,185,Quicktake,“ think ’ kind hidden agenda ” millions people refusing free covid shots… htpstcockjnvti,1253704,positive,0.2777777777777778,0.6777777777777777,0.155,0.46,0.385,0.6124
eatatjoe2,4433,abcnews,taiwan mobilises diplomats seek faster covid vaccine delivery amid rising cases htpstcomxijtlva,1783838,neutral,0.0,0.0,0.0,1.0,0.0,0.0
brukkia,942,dwnews,• biden administration announced supo lifting coronavirus vaccine patent protections • hong kong democracy activist josh…,495656,neutral,0.0,0.0,0.0,1.0,0.0,0.0
_techtalkng,185,Quicktake,“ n't enteain less month launch “ vaccine bubble ” som… htpstcoeadclpl,1253704,neutral,-0.16666666666666666,0.06666666666666667,0.0,1.0,0.0,0.0
NeilJamesWeekes,5786,Quicktake,“ n't enteain less month launch “ vaccine bubble ” hong kong restaurants…,1253704,neutral,-0.16666666666666666,0.06666666666666667,0.0,1.0,0.0,0.0
sheldon70544702,270,BillyBostickson,hong kong researchers find early covid mutant strain characteristics attenuated vaccine htpstcolqa…,4958,negative,0.1,0.3,0.098,0.902,0.0,-0.0516
lilyJoyfull,460,johnrobb,“ ’ take vaccine friends ’ want follow instructions recommendations go…,28519,positive,0.0,0.0,0.0,0.577,0.423,0.5267
AndrewPDuncan2,298,NikkeiAsia,singapore hong kong defer plans launch bilateral travel bubble taiwan repos domestic cases online…,245196,negative,0.0,0.1,0.145,0.855,0.0,-0.296
Wandering_Shrew,782,nogoodgods,according government invited million ‘ vaccine refusers ’ hongkong square the…,968,neutral,0.0,0.0,0.0,1.0,0.0,0.0
SwissNetInc,33864,swissbusiness,hong kongsingapore travel bubble delayed htpstcofvwctvjv,89483,negative,0.0,0.0,0.275,0.725,0.0,-0.2263
karina_tsui,273,hannahsmumby,hong kong 're still position concerns vaccines eclipse concerns actually covid th…,1736,neutral,0.0,0.1,0.0,1.0,0.0,0.0
Jacquel83321440,0,ChinaSunSong,zhu hanqiang director ngo hong kong moved taiwan province said considering no…,488,neutral,0.0,0.0,0.0,1.0,0.0,0.0
cassandraxhk,721,TIME,hong kong testing vaccine paspo bars boost lackluster vaccination rates htpstcoduqijg,18166650,positive,0.0,0.0,0.0,0.787,0.213,0.4019
ofarry,5005,Diplomat_APAC,hong kong one easiest places world get vaccine access public health services unles ’ re…,179203,positive,0.0,0.06666666666666667,0.0,0.823,0.177,0.4215
Knowne83,0,TIME,hong kong testing vaccine paspo bars boost lackluster vaccination rates htpstcoiclxtcgd,18166650,positive,0.0,0.0,0.0,0.787,0.213,0.4019
poyrazo34,232,next_china,millions people hong kong refusing get vaccinated fueled near breakdown communication gov…,59755,negative,0.1,0.4,0.197,0.803,0.0,-0.4019
DrDOwens,10,otandp,month ’ podcast episode dr david owens professor ben cowling discuss recent cases involving variants conc…,10,neutral,0.0,0.25,0.0,1.0,0.0,0.0
pepe111T,624,Undergroundsar3,um hum fancy hong kong researchers find early covid mutant strain characteristics attenuated vac…,1384,negative,0.1,0.3,0.085,0.915,0.0,-0.0516
VolleyWolleyy,56,george_chen,glad paner health authorities around world incl hong kong 🇭🇰 add creativity im…,24418,positive,0.5,1.0,0.0,0.663,0.337,0.6808
Jackson66965241,86,VamosNadalClay,dear expats try understand 's really happening hk lecture hker amp medical staff yo…,1328,positive,0.1,0.1,0.0,0.833,0.167,0.3818
152aqtnQIX2SeO4,297,Quicktake,“ n't enteain hong kong restaurants struggling follow government drive meant boo…,1253704,negative,0.0,0.0,0.219,0.781,0.0,-0.4215
spacelabtongs,1153,bobbiharlow,least one person furious vaccine hesitancy complained masks last year avoid hong kong neighborhoods with…,1540,negative,-0.19999999999999998,0.22222222222222224,0.488,0.512,0.0,-0.8591
easyjanjansen,37066,Network_Easy,hong kong researchers find early covid mutant strain characteristics attenuated vaccine macau business inte…,19959,negative,0.1,0.3,0.085,0.915,0.0,-0.0516
yennikwok,15631,primroseriordan,hong kong ’ hospital authority says less third full time workers covid jab amid high vacin…,14933,positive,0.08583333333333333,0.2891666666666667,0.0,0.915,0.085,0.0772
3rdcultureblah,231,baconmashwbs,lack vaccine india separate problem vaccine hesitancy hong…,480,negative,0.0,0.0,0.58,0.42,0.0,-0.7096
Cadeyrnn,1174,vicciho,want vacinehesitant folks hong kong reconsider maybe white expats stop snarking twitter talk…,1093,negative,0.0,0.0,0.152,0.759,0.09,-0.2263
WasiSumra,359,SCMPHongKong,coronavirus ‘ vaccine bubble ’ incentives ’ enough hong kong must get creative dispel rumours share facts about…,14089,positive,0.25,0.75,0.0,0.619,0.381,0.7506
hkdemonow,21712,tripperhead,another doses biontechcomirnaty vaccine arrived hong kong today latest batch also comes baxter p…,5511,neutral,0.5,0.9,0.0,1.0,0.0,0.0
manjuicecom1,206,business,think 's kind hidden agenda millions people refusing free covid shots hong kong paly du…,7327213,positive,0.17833333333333334,0.5483333333333333,0.126,0.561,0.313,0.6124
Kafka60613837,1039,iainmarlow,'s super easy anyone get free covid vaccine hong kong actually …,17765,positive,0.29166666666666663,0.6,0.0,0.442,0.558,0.8779
auweia1,835,HKU_CMEL,interview south china morning post commented hk 's vaccine bubble sp…,1196,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Fajoba1,395,tommywalkerco,📸📸📸hong kong unveils terms vaccine compensation asia times htpstcoqwgoeqlzm,12184,neutral,0.0,0.0,0.0,1.0,0.0,0.0
glitchbotio,1188,Quicktake,🍽️ less month launch “ vaccine bubble ” hong kong restaurants struggling follow government…,1253704,negative,-0.16666666666666666,0.06666666666666667,0.203,0.797,0.0,-0.4215
PoliticalBee,10211,CanisPundit,reminder vaccine expectations months ago told available vaccines prevented high percentag…,7402,positive,0.28,0.47,0.0,0.901,0.099,0.0258
gobedearly,559,ML03509599,各位推友，你們有沒有願意上鏡接受訪問有關香港人打疫苗比率低的原因？請聯絡👇🏻 傳媒朋友。 hi twitter friends hong kong willing explain fro…,3090,positive,0.25,0.75,0.0,0.744,0.256,0.4767
rachaelboon01,31,NikkeiAsia,sunday june restaurants singapore restricted takeout deliveries residents be…,245196,negative,0.0,0.0,0.245,0.755,0.0,-0.3818
periou05,233,Quicktake,“ n't coherent within industry ” hong kong launched vaccine bubble scheme fo…,1253704,positive,0.5,0.7,0.0,0.87,0.13,0.128
Suyeshh,849,NavitaSrikant,’ source htpstcocrdzscku,4360,neutral,0.0,0.0,0.0,1.0,0.0,0.0
sal__zy,43,gigi_choy,coronavirus ‘ vaccine bubble ’ incentives ’ enough hong kong must get creative dispel rumours share facts jab…,509,positive,0.25,0.75,0.0,0.619,0.381,0.7506
terpsichore_los,509,hongkong_news,scmp ‘ vaccine bubble ’ trouble rules fatigue ap cynicism sour mood among customer hurdles hong kong ’ restau…,311681,negative,-0.17500000000000002,0.15,0.363,0.637,0.0,-0.7506
PRqoSJdyofN1yLj,784,SCMPNews,‘ vaccine bubble ’ trouble hong kong restaurants bars hit rules fatigue ap cynicism htpstcontbfocoxu,801137,negative,-0.2,0.2,0.425,0.575,0.0,-0.7506
malkolodi,1289,paoloigna1,un numero rilevante di abitanti di hongkong non vuole vacinarsi contro il covid htpstcokdhti,91470,neutral,0.0,0.0,0.0,1.0,0.0,0.0
davebesseling,3204,SCMPNews,hong kong ’ vaccine sceptics learn struggles elsewhere htpstcoipkitqud,801137,negative,0.0,0.0,0.412,0.588,0.0,-0.4939
small_potato746,82,Quicktake,think 's kind hidden agenda millions people refusing free covid shots hong kong paly d…,1253704,positive,0.17833333333333334,0.5483333333333333,0.126,0.561,0.313,0.6124
hong_bless,319,Quicktake,public distrust means even frontline medical workers shying away getting vaccinated hong kong htpst…,1253704,negative,0.0,0.03333333333333333,0.281,0.719,0.0,-0.5719
hong_bless,319,Quicktake,“ think 's kind hidden agenda ” millions people refusing free covid shots hong kong gove…,1253704,positive,0.2777777777777778,0.6777777777777777,0.132,0.539,0.328,0.6124
SophieRockshots,661,hildabast,phase trial covid vax nasal spray uni hong kong registered people doses wks apa htpstcohaly…,26418,neutral,0.0,0.0,0.0,1.0,0.0,0.0
DavidSahijwani,56,BrittClennett,vaccine rates us gradually making return normalmeanwhile hong kong australia hav…,3067,neutral,0.0,0.0,0.0,1.0,0.0,0.0
yatnokarno,332,asiatimesonline,civil servants university students domestic workers must undergo tests unles vaccinated htpstcoh…,30263,neutral,0.0,0.1,0.0,1.0,0.0,0.0
28481k,3379,kjoules,million doses biontech vaccine administered hong kong,453,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Portello16,252,kjoules,million doses biontech vaccine administered hong kong htpstcozqtzhy,453,neutral,0.0,0.0,0.0,1.0,0.0,0.0
InfectiousDz,32613,bencowling88,discussed vaccine hesitancy dr david owens latest otp podcast ep covid vaccine hesitancy hong…,7895,negative,0.5,0.9,0.241,0.759,0.0,-0.4215
DrEL_Brown,528,InfectiousDz,taiwan hong kong previously able contain covid public health measures alone bottom league…,32653,negative,0.25,0.3458333333333333,0.143,0.857,0.0,-0.25
tweet4852,502,Quicktake,💉 places world easier get covid vaccine hong kong 's look millions refus…,1253704,positive,0.0,0.0,0.0,0.797,0.203,0.4215
tz3Vrv9oCJZvm0q,0,SCMPHongKong,coronavirus hong kong expects sixth straight day without untraceable local infection first claims made vaccine ind…,14089,positive,0.037500000000000006,0.35833333333333334,0.0,0.888,0.112,0.2263
_techtalkng,185,Quicktake,“ n't coherent within industry ” hong kong launched va… htpstcorpqdlxwn,1253704,positive,0.5,0.7,0.0,0.842,0.158,0.128
hsingh_hk,1359,SCMPHongKong,coronavirus representatives hong kong ’ pubs nightclubs karaoke bars request treated mane…,14089,neutral,0.0,0.0,0.0,1.0,0.0,0.0
yugoslav_luka,217,hkcharlesli,hongkongers choosing leave covid ignorance stupidity htpstcofzuckth…,166,negative,-0.6,1.0,0.623,0.377,0.0,-0.6808
meera_ganesan,1267,mduhalde96,hongkongers choosing leave covid htpstcoiwynhrplvo via,1527,negative,0.0,0.0,0.194,0.806,0.0,-0.0516
fo_go1,145,tripperhead,new vaccine bubble arrangements people arriving hong kong took effect midnight chp 's 'conc…,5511,neutral,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0
hongkongmusings,19,tripperhead,course 's aicles like driving vaccine hesitancy well one persons mentioned aicle died …,5511,negative,0.0,0.0,0.288,0.471,0.241,-0.2263
BrianRhoadsHK,5742,ETemily,hongkongers choosing leave covid htpstcoqmqcktsa via,1930,negative,0.0,0.0,0.194,0.806,0.0,-0.0516
hkdemonow,21712,ofarry,'m saying vaccine hesistancy justified mistrust government unreasonable hong kong…,5004,positive,0.4,0.9,0.0,0.769,0.231,0.4019
hkdemonow,21712,ofarry,could genuine lack vision plenty antecedents hong kong government 's pa…,5004,negative,0.4,0.5,0.173,0.677,0.15,-0.0772
hkdemonow,21712,denise_tsang,“ communications perspective ’ disaster ’ already let rumours fake news settle people ’ m…,6045,negative,-0.5,1.0,0.444,0.556,0.0,-0.802
bubitza,274,TIME,hong kong testing vaccine paspo bars boost lackluster vaccination rates htpstcofxekyjuzg,18166650,positive,0.0,0.0,0.0,0.787,0.213,0.4019
Jay_Watt,1793,Olgawys,coronavirus ‘ vaccine bubble ’ incentives ’ enough hong kong must get creative dispel rumours share facts jabs…,1537,positive,0.25,0.75,0.0,0.619,0.381,0.7506
GerReader,6762,SCMPNews,get creative dispel covid vaccine rumours hong kong expes say htpstcociplikyj,801137,positive,0.5,1.0,0.0,0.775,0.225,0.4404
B0tSci,1109,DrMePhD,global economic outlook hong kong🇭🇰 gt expecting see sequential growth momentum remain solid sarscov…,2197,positive,0.06666666666666667,0.10000000000000002,0.0,0.636,0.364,0.6486
DomEssig,21,MaitreyaBhakal,western media hong kongers refusing get vaccinated n't trust n't trus…,10578,negative,0.0,0.0,0.375,0.625,0.0,-0.6599
hndcpstd,436,eugyppius1,new corona semisatirical conspiracy theory proposes live selfpropagating vaccine virus intended elici…,2950,negative,0.13636363636363635,0.4772727272727273,0.236,0.764,0.0,-0.5267
karina_tsui,273,Paige_Reynolds_,week 've making series sociological phenomenon vaccine hesitancy 💉 full series en route…,594,negative,0.35,0.55,0.147,0.853,0.0,-0.2263
hkdemonow,21712,Monocle24,globalist series vaccine hesitancy continues politics trust hongkong htpst…,29553,positive,0.0,0.0,0.156,0.574,0.27,0.34
GrandRevivalYay,276,DavidPapp,hong kong wo n't mandate domestic workers htpstcotuxv,69131,neutral,0.0,0.1,0.0,1.0,0.0,0.0
PHLNewsInsider,779,manilabulletin,hong kong withdraws mandatory vaccine policy plan domestic helpers htpstconxeu,856237,positive,0.0,0.1,0.0,0.702,0.298,0.34
MJccdWG,16,Jamon146,มีใช้ ประเทศทั่วโลก จาก ประเทศ azerbaijan brazil cambodia chile colombi…,296,neutral,0.0,0.0,0.0,1.0,0.0,0.0
ChoiEnglish,1198,TMclaughlin3,lawmaker chan hanpan asked legco hong kong 's vaccine program mainland residents city final line…,24768,neutral,0.0,1.0,0.0,1.0,0.0,0.0
ThohaAli,339,AJEnglish,hong kong drops ‘ discriminatory ’ covid vaccine plan foreign workers htpstcohigxilkl htpstcocubfqaev,6862067,neutral,-0.125,0.125,0.0,1.0,0.0,0.0
_techtalkng,185,Quicktake,🍽️ less month launch “ vaccine bubble ” hong kong restaurants struggling… htpstcoqishfynp,1253704,neutral,-0.16666666666666666,0.06666666666666667,0.0,1.0,0.0,0.0
mfc815,215,DavidV5Goliath,hyde park conce set june cancelled time adults vaccinated vir…,3255,negative,0.0,0.0,0.182,0.818,0.0,-0.25
stripeygoodness,410,tripperhead,fda approved biontech vaccine year olds hong kong may wait little lon…,5511,positive,-0.1875,0.5,0.0,0.797,0.203,0.4215
ldga123456,548,bpolitics,millions people hong kong refusing get vaccinated fueled near breakdown communication gove…,342187,negative,0.1,0.4,0.197,0.803,0.0,-0.4019
Evange_McDowell,785,JeromeTaylor,hong kong leader carie lam confirmed city officially abandoned plan make vaccines mandatory foreig…,39652,negative,0.4,1.0,0.184,0.736,0.08,-0.4019
Jackson66965241,86,STForeignDesk,hong kong residents ' covid vaccine hesitancy slowing city 's odds full reopening yearend htpstcoircy…,47957,negative,0.35,0.55,0.128,0.872,0.0,-0.2263
cuckoo_sing,602,ChloecLoNews,hongkong people refusing get vaccinated look problems htpstco…,295,negative,0.0,0.0,0.474,0.526,0.0,-0.6597
